,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9961 (0.00031),0.9961 (0.00031),0.9940 (0.00024),0.9981 (0.00051),0.9922 (0.00061),0.9699 (0.00042),0.9699 (0.00038),0.9712 (0.00113),0.9687 (0.00187),0.9397 (0.00084),0.9696 (0.00044),0.9695 (0.00041),0.9684 (0.00088),0.9707 (0.00146),0.9391 (0.00088)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9913 (0.00074),0.9913 (0.00074),0.9891 (0.00090),0.9936 (0.00089),0.9827 (0.00148),0.9697 (0.00127),0.9697 (0.00124),0.9709 (0.00135),0.9685 (0.00254),0.9393 (0.00254),0.9682 (0.00101),0.9682 (0.00101),0.9663 (0.00156),0.9700 (0.00182),0.9365 (0.00203)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9917 (0.00085),0.9916 (0.00086),0.9903 (0.00134),0.9930 (0.00074),0.9833 (0.00170),0.9694 (0.00125),0.9695 (0.00122),0.9720 (0.00049),0.9670 (0.00212),0.9388 (0.00249),0.9689 (0.00071),0.9688 (0.00072),0.9681 (0.00127),0.9696 (0.00111),0.9378 (0.00143)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9848 (0.00073),0.9848 (0.00073),0.9842 (0.00107),0.9854 (0.00126),0.9697 (0.00146),0.9687 (0.00133),0.9687 (0.00133),0.9700 (0.00186),0.9674 (0.00186),0.9373 (0.00267),0.9675 (0.00098),0.9675 (0.00097),0.9662 (0.00168),0.9687 (0.00172),0.9351 (0.00195)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9917 (0.00085),0.9916 (0.00086),0.9903 (0.00134),0.9930 (0.00074),0.9833 (0.00170),0.9694 (0.00125),0.9695 (0.00122),0.9720 (0.00049),0.9670 (0.00212),0.9388 (0.00249),0.9689 (0.00071),0.9688 (0.00072),0.9681 (0.00127),0.9696 (0.00111),0.9378 (0.00143)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9850 (0.00065),0.9850 (0.00066),0.9847 (0.00138),0.9853 (0.00103),0.9700 (0.00130),0.9687 (0.00105),0.9688 (0.00102),0.9705 (0.00175),0.9671 (0.00273),0.9375 (0.00210),0.9677 (0.00094),0.9677 (0.00093),0.9662 (0.00183),0.9691 (0.00190),0.9354 (0.00187)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9917 (0.00085),0.9916 (0.00086),0.9903 (0.00134),0.9930 (0.00074),0.9833 (0.00170),0.9694 (0.00125),0.9695 (0.00122),0.9720 (0.00049),0.9670 (0.00212),0.9388 (0.00249),0.9689 (0.00071),0.9688 (0.00072),0.9681 (0.00127),0.9696 (0.00111),0.9378 (0.00143)
n_estimators50 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9849 (0.00074),0.9849 (0.00074),0.9844 (0.00122),0.9854 (0.00124),0.9698 (0.00148),0.9687 (0.00118),0.9688 (0.00116),0.9706 (0.00153),0.9669 (0.00220),0.9374 (0.00235),0.9676 (0.00080),0.9676 (0.00078),0.9666 (0.00120),0.9686 (0.00180),0.9352 (0.00160)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9700 (0.00100),0.9699 (0.00101),0.9641 (0.00157),0.9757 (0.00109),0.9401 (0.00199),0.9625 (0.00162),0.9624 (0.00168),0.9586 (0.00324),0.9661 (0.00072),0.9251 (0.00322),0.9625 (0.00118),0.9622 (0.00119),0.9545 (0.00120),0.9700 (0.00136),0.9250 (0.00237)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9693 (0.00117),0.9691 (0.00117),0.9642 (0.00135),0.9741 (0.00161),0.9386 (0.00235),0.9631 (0.00104),0.9630 (0.00105),0.9608 (0.00210),0.9651 (0.00171),0.9261 (0.00208),0.9616 (0.00113),0.9614 (0.00112),0.9547 (0.00140),0.9681 (0.00203),0.9234 (0.00228)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9699 (0.00124),0.9697 (0.00125),0.9634 (0.00158),0.9760 (0.00101),0.9399 (0.00246),0.9623 (0.00162),0.9622 (0.00168),0.9584 (0.00317),0.9659 (0.00056),0.9247 (0.00322),0.9624 (0.00120),0.9621 (0.00120),0.9540 (0.00092),0.9704 (0.00150),0.9250 (0.00241)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9692 (0.00100),0.9691 (0.00100),0.9642 (0.00135),0.9740 (0.00173),0.9385 (0.00201),0.9626 (0.00136),0.9625 (0.00136),0.9602 (0.00187),0.9648 (0.00206),0.9252 (0.00273),0.9618 (0.00110),0.9615 (0.00109),0.9548 (0.00129),0.9683 (0.00201),0.9237 (0.00222)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9698 (0.00110),0.9696 (0.00112),0.9640 (0.00173),0.9753 (0.00066),0.9396 (0.00218),0.9620 (0.00198),0.9618 (0.00204),0.9576 (0.00341),0.9661 (0.00114),0.9241 (0.00395),0.9619 (0.00134),0.9615 (0.00134),0.9537 (0.00110),0.9696 (0.00160),0.9239 (0.00269)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9693 (0.00117),0.9691 (0.00117),0.9643 (0.00144),0.9740 (0.00202),0.9386 (0.00236),0.9622 (0.00135),0.9621 (0.00133),0.9602 (0.00205),0.9641 (0.00265),0.9244 (0.00271),0.9615 (0.00114),0.9613 (0.00112),0.9550 (0.00158),0.9676 (0.00225),0.9231 (0.00229)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9698 (0.00138),0.9696 (0.00140),0.9635 (0.00173),0.9758 (0.00109),0.9397 (0.00276),0.9626 (0.00134),0.9625 (0.00140),0.9584 (0.00298),0.9665 (0.00068),0.9253 (0.00266),0.9620 (0.00128),0.9616 (0.00127),0.9537 (0.00078),0.9698 (0.00196),0.9241 (0.00259)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9691 (0.00113),0.9689 (0.00114),0.9641 (0.00183),0.9738 (0.00148),0.9382 (0.00226),0.9624 (0.00109),0.9623 (0.00113),0.9601 (0.00267),0.9644 (0.00180),0.9247 (0.00217),0.9617 (0.00096),0.9615 (0.00097),0.9548 (0.00172),0.9682 (0.00172),0.9235 (0.00193)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9698 (0.00138),0.9696 (0.00140),0.9635 (0.00173),0.9758 (0.00109),0.9397 (0.00276),0.9626 (0.00134),0.9625 (0.00140),0.9584 (0.00298),0.9665 (0.00068),0.9253 (0.00266),0.9620 (0.00128),0.9616 (0.00127),0.9537 (0.00078),0.9698 (0.00196),0.9241 (0.00259)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9692 (0.00136),0.9691 (0.00137),0.9640 (0.00201),0.9742 (0.00173),0.9385 (0.00271),0.9627 (0.00123),0.9626 (0.00123),0.9606 (0.00161),0.9646 (0.00177),0.9254 (0.00246),0.9616 (0.00116),0.9613 (0.00117),0.9546 (0.00208),0.9681 (0.00209),0.9232 (0.00232)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9696 (0.00138),0.9694 (0.00140),0.9639 (0.00195),0.9750 (0.00123),0.9392 (0.00276),0.9621 (0.00190),0.9619 (0.00197),0.9574 (0.00359),0.9665 (0.00060),0.9243 (0.00378),0.9620 (0.00146),0.9616 (0.00145),0.9538 (0.00097),0.9697 (0.00195),0.9241 (0.00294)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9691 (0.00120),0.9689 (0.00120),0.9640 (0.00172),0.9739 (0.00186),0.9383 (0.00241),0.9628 (0.00125),0.9627 (0.00125),0.9606 (0.00176),0.9648 (0.00196),0.9255 (0.00250),0.9617 (0.00080),0.9615 (0.00080),0.9551 (0.00181),0.9679 (0.00194),0.9235 (0.00161)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9692 (0.00098),0.9690 (0.00099),0.9639 (0.00112),0.9742 (0.00099),0.9384 (0.00197),0.9624 (0.00084),0.9623 (0.00085),0.9588 (0.00097),0.9657 (0.00097),0.9248 (0.00169),0.9615 (0.00073),0.9612 (0.00068),0.9541 (0.00084),0.9684 (0.00220),0.9230 (0.00151)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9684 (0.00169),0.9682 (0.00170),0.9637 (0.00212),0.9728 (0.00223),0.9368 (0.00338),0.9624 (0.00126),0.9623 (0.00124),0.9603 (0.00182),0.9643 (0.00232),0.9248 (0.00252),0.9612 (0.00122),0.9610 (0.00122),0.9545 (0.00187),0.9675 (0.00213),0.9225 (0.00245)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9692 (0.00098),0.9690 (0.00099),0.9639 (0.00112),0.9742 (0.00099),0.9384 (0.00197),0.9624 (0.00084),0.9623 (0.00085),0.9588 (0.00097),0.9657 (0.00097),0.9248 (0.00169),0.9615 (0.00073),0.9612 (0.00068),0.9541 (0.00084),0.9684 (0.00220),0.9230 (0.00151)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9684 (0.00147),0.9683 (0.00148),0.9637 (0.00201),0.9729 (0.00176),0.9369 (0.00294),0.9626 (0.00121),0.9625 (0.00121),0.9602 (0.00190),0.9649 (0.00198),0.9253 (0.00241),0.9618 (0.00103),0.9615 (0.00104),0.9549 (0.00173),0.9681 (0.00163),0.9236 (0.00205)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9692 (0.00098),0.9690 (0.00099),0.9639 (0.00112),0.9742 (0.00099),0.9384 (0.00197),0.9624 (0.00084),0.9623 (0.00085),0.9588 (0.00097),0.9657 (0.00097),0.9248 (0.00169),0.9615 (0.00073),0.9612 (0.00068),0.9541 (0.00084),0.9684 (0.00220),0.9230 (0.00151)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9686 (0.00125),0.9684 (0.00126),0.9637 (0.00155),0.9732 (0.00162),0.9372 (0.00251),0.9625 (0.00124),0.9625 (0.00123),0.9604 (0.00187),0.9645 (0.00224),0.9251 (0.00249),0.9615 (0.00112),0.9612 (0.00112),0.9546 (0.00173),0.9679 (0.00198),0.9231 (0.00224)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9895 (0.00014),0.9894 (0.00014),0.9851 (0.00049),0.9938 (0.00028),0.9790 (0.00028),0.9689 (0.00101),0.9689 (0.00100),0.9686 (0.00123),0.9692 (0.00190),0.9378 (0.00203),0.9674 (0.00043),0.9672 (0.00044),0.9629 (0.00158),0.9716 (0.00134),0.9348 (0.00085)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9872 (0.00069),0.9871 (0.00070),0.9832 (0.00102),0.9910 (0.00107),0.9744 (0.00139),0.9687 (0.00119),0.9687 (0.00120),0.9685 (0.00209),0.9690 (0.00173),0.9374 (0.00238),0.9671 (0.00102),0.9670 (0.00102),0.9633 (0.00164),0.9707 (0.00174),0.9342 (0.00203)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9901 (0.00028),0.9900 (0.00029),0.9864 (0.00078),0.9937 (0.00024),0.9802 (0.00056),0.9681 (0.00106),0.9681 (0.00108),0.9674 (0.00171),0.9687 (0.00074),0.9362 (0.00212),0.9676 (0.00128),0.9675 (0.00132),0.9644 (0.00289),0.9707 (0.00168),0.9353 (0.00255)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9868 (0.00077),0.9868 (0.00077),0.9831 (0.00131),0.9905 (0.00097),0.9737 (0.00153),0.9688 (0.00149),0.9688 (0.00147),0.9685 (0.00175),0.9692 (0.00250),0.9377 (0.00298),0.9668 (0.00098),0.9667 (0.00100),0.9633 (0.00222),0.9701 (0.00197),0.9336 (0.00197)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9890 (0.00049),0.9889 (0.00049),0.9855 (0.00112),0.9924 (0.00056),0.9780 (0.00097),0.9690 (0.00208),0.9690 (0.00208),0.9696 (0.00195),0.9684 (0.00222),0.9379 (0.00416),0.9674 (0.00102),0.9673 (0.00112),0.9642 (0.00416),0.9705 (0.00214),0.9349 (0.00200)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9862 (0.00072),0.9862 (0.00072),0.9829 (0.00130),0.9894 (0.00119),0.9724 (0.00144),0.9687 (0.00105),0.9687 (0.00105),0.9684 (0.00216),0.9689 (0.00213),0.9374 (0.00209),0.9671 (0.00114),0.9670 (0.00114),0.9633 (0.00191),0.9707 (0.00201),0.9343 (0.00229)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9888 (0.00098),0.9887 (0.00099),0.9855 (0.00173),0.9920 (0.00029),0.9776 (0.00194),0.9686 (0.00162),0.9686 (0.00164),0.9682 (0.00230),0.9689 (0.00101),0.9372 (0.00324),0.9672 (0.00019),0.9671 (0.00026),0.9638 (0.00245),0.9705 (0.00198),0.9345 (0.00034)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9852 (0.00082),0.9852 (0.00082),0.9824 (0.00129),0.9880 (0.00116),0.9705 (0.00164),0.9683 (0.00108),0.9683 (0.00107),0.9681 (0.00197),0.9685 (0.00217),0.9366 (0.00216),0.9673 (0.00103),0.9671 (0.00105),0.9639 (0.00204),0.9705 (0.00160),0.9345 (0.00206)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9888 (0.00098),0.9887 (0.00099),0.9855 (0.00173),0.9920 (0.00029),0.9776 (0.00194),0.9686 (0.00162),0.9686 (0.00164),0.9682 (0.00230),0.9689 (0.00101),0.9372 (0.00324),0.9672 (0.00019),0.9671 (0.00026),0.9638 (0.00245),0.9705 (0.00198),0.9345 (0.00034)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9852 (0.00074),0.9851 (0.00074),0.9819 (0.00105),0.9884 (0.00120),0.9704 (0.00148),0.9686 (0.00117),0.9686 (0.00117),0.9680 (0.00204),0.9691 (0.00186),0.9372 (0.00234),0.9671 (0.00100),0.9670 (0.00100),0.9632 (0.00178),0.9708 (0.00210),0.9343 (0.00201)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9884 (0.00024),0.9883 (0.00025),0.9844 (0.00051),0.9923 (0.00014),0.9768 (0.00048),0.9701 (0.00086),0.9701 (0.00086),0.9702 (0.00129),0.9700 (0.00099),0.9401 (0.00171),0.9685 (0.00092),0.9684 (0.00095),0.9656 (0.00221),0.9713 (0.00114),0.9371 (0.00183)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9848 (0.00092),0.9847 (0.00092),0.9820 (0.00130),0.9875 (0.00108),0.9696 (0.00184),0.9687 (0.00113),0.9687 (0.00112),0.9684 (0.00196),0.9690 (0.00212),0.9375 (0.00226),0.9674 (0.00118),0.9673 (0.00118),0.9640 (0.00186),0.9706 (0.00215),0.9348 (0.00237)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9859 (0.00098),0.9859 (0.00098),0.9836 (0.00106),0.9881 (0.00133),0.9718 (0.00195),0.9685 (0.00101),0.9685 (0.00097),0.9690 (0.00049),0.9680 (0.00232),0.9370 (0.00203),0.9670 (0.00056),0.9669 (0.00055),0.9632 (0.00162),0.9706 (0.00178),0.9341 (0.00112)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9815 (0.00100),0.9815 (0.00100),0.9798 (0.00113),0.9832 (0.00139),0.9631 (0.00200),0.9679 (0.00127),0.9679 (0.00127),0.9679 (0.00220),0.9679 (0.00212),0.9357 (0.00254),0.9670 (0.00109),0.9669 (0.00108),0.9636 (0.00189),0.9701 (0.00233),0.9340 (0.00220)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9859 (0.00098),0.9859 (0.00098),0.9836 (0.00106),0.9881 (0.00133),0.9718 (0.00195),0.9685 (0.00101),0.9685 (0.00097),0.9690 (0.00049),0.9680 (0.00232),0.9370 (0.00203),0.9670 (0.00056),0.9669 (0.00055),0.9632 (0.00162),0.9706 (0.00178),0.9341 (0.00112)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9813 (0.00084),0.9813 (0.00084),0.9792 (0.00134),0.9834 (0.00128),0.9627 (0.00168),0.9683 (0.00101),0.9683 (0.00101),0.9679 (0.00229),0.9687 (0.00214),0.9366 (0.00202),0.9673 (0.00104),0.9672 (0.00105),0.9636 (0.00169),0.9708 (0.00159),0.9347 (0.00209)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9859 (0.00098),0.9859 (0.00098),0.9836 (0.00106),0.9881 (0.00133),0.9718 (0.00195),0.9685 (0.00101),0.9685 (0.00097),0.9690 (0.00049),0.9680 (0.00232),0.9370 (0.00203),0.9670 (0.00056),0.9669 (0.00055),0.9632 (0.00162),0.9706 (0.00178),0.9341 (0.00112)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9814 (0.00088),0.9814 (0.00089),0.9795 (0.00131),0.9832 (0.00138),0.9628 (0.00177),0.9680 (0.00135),0.9680 (0.00136),0.9679 (0.00239),0.9680 (0.00198),0.9359 (0.00271),0.9668 (0.00094),0.9667 (0.00095),0.9635 (0.00189),0.9699 (0.00161),0.9336 (0.00188)
